,symbol1,symbol2,balance
11293,VOOG,VUG,1.226290828815547
1693,VGT,SCHG,1.2260295946001118
1055,IWF,XLK,1.2259319825579664
9021,XLP,VUG,1.2259262258474464
12722,SCHV,SOXX,1.2258175898665475
10789,OEF,XLK,1.2256316118257495
11208,ESGU,XLE,1.2255390141016147
4643,QQQM,VOOG,1.2255131173303162
6709,USHY,SCHG,1.2254380879334332
7186,XLY,FTEC,1.2252023629050235
6322,VONG,SCHG,1.2250227369139663
9096,XLP,IYW,1.2249784520374556
9129,XLP,IWS,1.2248990697248126
3226,SPLG,IJR,1.2248313764564702
12672,SCHV,SMH,1.2245156871878353
6728,USHY,XLY,1.2244307486452626
7078,XLY,XLK,1.2240110455072712
1887,XLK,VGT,1.2239757241224536
9901,DGRW,VXF,1.2238159353122497
4085,IWB,IYW,1.2236750626169806
756,VUG,IUSG,1.223642355685325
9857,DGRW,VB,1.2236132366979804
3341,SPLG,SPSM,1.2235965594914875
362,IVV,VBK,1.223452962317082
9064,XLP,QQQM,1.2233849915914132
2893,IVW,FTEC,1.2233393693561512
8041,IYW,FTEC,1.2232587024663077
2298,ITOT,XLK,1.2231606195935047
3326,SPLG,OEF,1.2230872460750666
1284,VIG,MGK,1.2230285967425782
12329,MINT,GDX,1.2230152602084283
6109,MGK,VGT,1.2228130174822796
1333,VIG,IWO,1.222797131939272
5419,SPYG,VUG,1.2226977598178896
11652,NOBL,SOXX,1.222617172731936
6333,VONG,MGK,1.2225982277312686
7113,XLY,SCHG,1.2223695853731882
4605,QQQM,XLC,1.222336192400205
1703,VGT,VONG,1.2223050257586976
12023,IWY,SPYG,1.2221528870281033
11168,ESGU,VUG,1.2219396737473653
251,VOO,OEF,1.2219198428045013
3863,VV,SCHG,1.221666550952414
3581,VT,IWO,1.2216635579079205
6147,MGK,VONG,1.2213502767248023
10786,OEF,VGT,1.2213093381372113
637,QQQ,XLC,1.2212824124230421
2394,ITOT,FTEC,1.2212068006652947
11271,ESGU,AVUV,1.2211316302581146
7803,VGK,GBTC,1.2209522276533593
7564,EFV,XLE,1.2207221917778328
9032,XLP,VGT,1.2206920971010418
12421,SPSM,SMH,1.2204975761598493
1749,VGT,IWY,1.2203249650510362
72,SPY,VXF,1.2203095909705635
11463,GSLC,VUG,1.2201323843987033
6666,USHY,QQQ,1.2201215626125297
9924,DGRW,IWP,1.2200308329492673
114,SPY,AVUV,1.2199265290451962
11216,ESGU,SPYG,1.2197706272526274
9136,XLP,FTEC,1.2195091817626564
6719,USHY,MGK,1.2192155168055887
6198,MGK,IWY,1.2191238241279623
3933,VV,IWY,1.2190898789906013
6773,USHY,IWY,1.21871392706525
7991,IYW,MGK,1.2185600100560896
9845,DGRW,IJH,1.2184967035487269
8259,VBK,GBTC,1.2183640336664074
695,VUG,IWF,1.2183582637572652
