da,strategy_name,code,weight
2023-12-18,cot,QQQ,0.5
2023-12-18,cot,GLD,0.4425
2023-12-18,cot,SHY,0.0575
2023-12-19,cot,QQQ,0.5
2023-12-19,cot,GLD,0.4425
2023-12-19,cot,SHY,0.0575
2023-12-20,cot,QQQ,0.5
2023-12-20,cot,GLD,0.4425
2023-12-20,cot,SHY,0.0575
2023-12-21,cot,QQQ,0.5
2023-12-21,cot,GLD,0.4425
2023-12-21,cot,SHY,0.0575
2023-12-22,cot,QQQ,0.5
2023-12-22,cot,GLD,0.4425
2023-12-22,cot,SHY,0.0575
2023-12-26,cot,QQQ,1.0
2023-12-27,cot,QQQ,1.0
2023-12-28,cot,QQQ,1.0
2023-12-29,cot,QQQ,1.0
2024-01-02,cot,QQQ,1.0
2024-01-03,cot,QQQ,1.0
2024-01-04,cot,QQQ,1.0
2024-01-05,cot,QQQ,1.0
2024-01-08,cot,QQQ,1.0
2024-01-09,cot,QQQ,1.0
2024-01-10,cot,QQQ,1.0
2024-01-11,cot,QQQ,1.0
2024-01-12,cot,QQQ,1.0
2024-01-16,cot,QQQ,1.0
2024-01-17,cot,QQQ,1.0
2024-01-18,cot,QQQ,1.0
2024-01-19,cot,QQQ,1.0
2024-01-22,cot,QQQ,0.5
2024-01-22,cot,GLD,0.4425
2024-01-22,cot,SHY,0.0575
2024-01-23,cot,QQQ,0.5
2024-01-23,cot,GLD,0.4425
2024-01-23,cot,SHY,0.0575
2024-01-24,cot,QQQ,0.5
2024-01-24,cot,GLD,0.4425
2024-01-24,cot,SHY,0.0575
2024-01-25,cot,QQQ,0.5
2024-01-25,cot,GLD,0.4425
2024-01-25,cot,SHY,0.0575
2024-01-26,cot,QQQ,0.5
2024-01-26,cot,GLD,0.4425
2024-01-26,cot,SHY,0.0575
2024-01-29,cot,QQQ,0.5
2024-01-29,cot,GLD,0.4425
2024-01-29,cot,SHY,0.0575
2024-01-30,cot,QQQ,0.5
2024-01-30,cot,GLD,0.4425
2024-01-30,cot,SHY,0.0575
2024-01-31,cot,QQQ,0.5
2024-01-31,cot,GLD,0.4425
2024-01-31,cot,SHY,0.0575
2024-02-01,cot,QQQ,0.5
2024-02-01,cot,GLD,0.4425
2024-02-01,cot,SHY,0.0575
2024-02-02,cot,QQQ,0.5
2024-02-02,cot,GLD,0.4425
2024-02-02,cot,SHY,0.0575
2024-02-05,cot,QQQ,1.0
2024-02-06,cot,QQQ,1.0
2024-02-07,cot,QQQ,1.0
2024-02-08,cot,QQQ,1.0
2024-02-09,cot,QQQ,1.0
2024-02-12,cot,QQQ,0.5
2024-02-12,cot,GLD,0.4425
2024-02-12,cot,SHY,0.0575
2024-02-13,cot,QQQ,0.5
2024-02-13,cot,GLD,0.4425
2024-02-13,cot,SHY,0.0575
2024-02-14,cot,QQQ,0.5
2024-02-14,cot,GLD,0.4425
2024-02-14,cot,SHY,0.0575
2024-02-15,cot,QQQ,0.5
2024-02-15,cot,GLD,0.4425
2024-02-15,cot,SHY,0.0575
2024-02-16,cot,QQQ,0.5
2024-02-16,cot,GLD,0.4425
2024-02-16,cot,SHY,0.0575
2024-02-20,cot,QQQ,1.0
2024-02-21,cot,QQQ,1.0
2024-02-22,cot,QQQ,1.0
2024-02-23,cot,QQQ,1.0
2024-02-26,cot,QQQ,0.5
2024-02-26,cot,GLD,0.4425
2024-02-26,cot,SHY,0.0575
2024-02-27,cot,QQQ,0.5
2024-02-27,cot,GLD,0.4425
2024-02-27,cot,SHY,0.0575
2024-02-28,cot,QQQ,0.5
2024-02-28,cot,GLD,0.4425
2024-02-28,cot,SHY,0.0575
2024-02-29,cot,QQQ,0.5
2024-02-29,cot,GLD,0.4425
2024-02-29,cot,SHY,0.0575
2024-03-01,cot,QQQ,0.5
2024-03-01,cot,GLD,0.4425
2024-03-01,cot,SHY,0.0575
2024-03-04,cot,QQQ,0.5
2024-03-04,cot,GLD,0.4425
2024-03-04,cot,SHY,0.0575
2024-03-05,cot,QQQ,0.5
2024-03-05,cot,GLD,0.4425
2024-03-05,cot,SHY,0.0575
2024-03-06,cot,QQQ,0.5
2024-03-06,cot,GLD,0.4425
2024-03-06,cot,SHY,0.0575
2024-03-07,cot,QQQ,0.5
2024-03-07,cot,GLD,0.4425
2024-03-07,cot,SHY,0.0575
2024-03-08,cot,QQQ,0.5
2024-03-08,cot,GLD,0.4425
2024-03-08,cot,SHY,0.0575
2024-03-11,cot,QQQ,1.0
2024-03-12,cot,QQQ,1.0
2024-03-13,cot,QQQ,1.0
2024-03-14,cot,QQQ,1.0
2024-03-15,cot,QQQ,1.0
2024-03-18,cot,QQQ,1.0
2024-03-19,cot,QQQ,1.0
2024-03-20,cot,QQQ,1.0
2024-03-21,cot,QQQ,1.0
2024-03-22,cot,QQQ,1.0
2024-03-25,cot,QQQ,1.0
2024-03-26,cot,QQQ,1.0
2024-03-27,cot,QQQ,1.0
2024-03-28,cot,QQQ,1.0
2024-04-01,cot,QQQ,1.0
2024-04-02,cot,QQQ,1.0
2024-04-03,cot,QQQ,1.0
2024-04-04,cot,QQQ,1.0
2024-04-05,cot,QQQ,1.0
2024-04-08,cot,QQQ,1.0
2024-04-09,cot,QQQ,1.0
2024-04-10,cot,QQQ,1.0
2024-04-11,cot,QQQ,1.0
2024-04-12,cot,QQQ,1.0
2024-04-15,cot,QQQ,1.0
2024-04-16,cot,QQQ,1.0
2024-04-17,cot,QQQ,1.0
2024-04-18,cot,QQQ,1.0
2024-04-19,cot,QQQ,1.0
2024-04-22,cot,QQQ,1.0
2024-04-23,cot,QQQ,1.0
2024-04-24,cot,QQQ,1.0
2024-04-25,cot,QQQ,1.0
2024-04-26,cot,QQQ,1.0
2024-04-29,cot,QQQ,0.5
2024-04-29,cot,GLD,0.4425
2024-04-29,cot,SHY,0.0575
2024-04-30,cot,QQQ,0.5
2024-04-30,cot,GLD,0.4425
2024-04-30,cot,SHY,0.0575
2024-05-01,cot,QQQ,0.5
2024-05-01,cot,GLD,0.4425
2024-05-01,cot,SHY,0.0575
2024-05-02,cot,QQQ,0.5
2024-05-02,cot,GLD,0.4425
2024-05-02,cot,SHY,0.0575
2024-05-03,cot,QQQ,0.5
2024-05-03,cot,GLD,0.4425
2024-05-03,cot,SHY,0.0575
2024-05-06,cot,QQQ,0.5
2024-05-06,cot,GLD,0.4425
2024-05-06,cot,SHY,0.0575
2024-05-07,cot,QQQ,0.5
2024-05-07,cot,GLD,0.4425
2024-05-07,cot,SHY,0.0575
2024-05-08,cot,QQQ,0.5
2024-05-08,cot,GLD,0.4425
2024-05-08,cot,SHY,0.0575
2024-05-09,cot,QQQ,0.5
2024-05-09,cot,GLD,0.4425
2024-05-09,cot,SHY,0.0575
2024-05-10,cot,QQQ,0.5
2024-05-10,cot,GLD,0.4425
