Symbol,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
GRC,0.11790193226407895,0.09784824486419091,0.08155173917231202,0.0917267683107005,0.054086141439313326,0.11896565300698764,0.033095169649753876,0.08203082101783032,0.07020489520764824,0.1552843578319163,0.028005690312092008,0.09979580637038878
ADV,0.17006312040344876,0.11637563886420398,0.21972798943219732,0.1420571040063255,0.3102436876531786,0.18125866200414134,0.13700828908547572,0.135124626269105,0.241872342513663,0.40716223756583636,0.2408144987591406,0.2395285596241788
HTLD,0.1145273322585317,0.01584759418831653,0.028585873741726067,0.06407255537131362,0.0685847343588472,0.05027644981379407,0.0845147782672385,0.03119217923477416,0.014681868741854311,0.1365550632006661,0.06644095458079093,0.07364416076155225
SBR,0.17424219220560486,0.14707475294095126,0.05020398640615173,0.07929696768981077,0.1195121291778383,0.1391816342515083,0.0788211108908926,0.07510340356282179,0.09926958252344692,0.15289003883743738,0.069794237586211,0.04094294770786518
BLFS,0.24363646686493562,0.11875609689396012,0.08608200286830081,0.18904041790001594,0.16391374286345525,0.18778184483343122,0.25375042858409574,0.3294006795599883,0.16638975854846913,0.26330237344539925,0.256711896149741,0.23569609891327964
NX,0.10887869079001367,0.05276171153783315,0.14403325083881596,0.07851729294947894,0.05789756885232342,0.17782489096783605,0.04108793639011687,0.027897496039224694,0.11530240776707075,0.15017818527853444,0.05845737592583072,0.09760613838566848
AGRO,0.0689202073351691,0.121134414831328,0.1349445640662328,0.10916060410205092,0.09800629534959351,0.12704403777566378,0.13028105771627146,0.07383198305024503,0.05971957738710928,0.07110364953124652,0.09943779286260783,0.017594774302467902
SCHL,0.05671866975953525,0.002910905503716391,0.11916980726489657,0.09290578013298441,0.0513621938861367,0.09337142636182486,0.21090303746695824,0.015363307580506691,0.2012836021586095,0.1454963824199416,0.025564522190195137,0.05208209461363335
BTZ,0.10981528667137283,0.017943271263742695,0.019251345362373082,0.049105963155182446,0.02433895879492571,0.039737337538012445,0.04045665176228949,0.03277522527624628,0.062290706882814836,0.04138904063667839,0.05876702651098234,0.04637482839901031
WOOF,0.23995417901285915,0.10735260631265632,0.13952801356784925,0.20364404162641814,0.8645972692742678,0.12073036930881173,0.014928952893337092,0.25094254028553065,0.12115873757588079,0.16735832263987555,0.13847073310995903,0.10453597817534463
CPLP,0.17570614474929463,0.05311101681743274,0.14947530666690517,0.1423027223638914,0.03572161101980291,0.03917907302593573,0.07274583283157983,0.02336055855071155,0.08614832899956866,0.04508791574117226,0.13455816727920034,0.05202545605602569
KRUS,0.4194002929614274,0.09098105210526637,0.09406680283752204,0.10114325529682679,0.21673125967865156,0.22459663677886038,0.3232597721760637,0.09438825092935457,0.11388895231493522,0.10499275033366437,0.3335547447528409,0.3003180670234952
VTOL,0.09637966102344951,0.07145779455687323,0.14995621833833211,0.09857577686776867,0.15288907036071941,0.18007645656187607,0.0446455017284868,0.16195194786564499,0.11730094926193442,0.17351851625916548,0.07043498522279917,0.02731608170255548
DLX,0.1570980230967469,0.06540721926446105,0.09666216234742006,0.06388042434803541,0.11020012798916631,0.10668505859651393,0.12356501764718676,0.15106519537183258,0.040223108676972624,0.10080050401949303,0.06194969500307688,0.15387369816241753
OBK,0.08823790460321719,0.05244450336855442,0.10110081772846966,0.06117323032163753,0.03775499085002556,0.035917279111635406,0.08849496946869859,0.03862407619872529,0.050777049182836535,0.024784060824029116,0.06486371224207652,0.11149165487100966
SSRM,0.10595947833487727,0.3720396826768822,0.0387007231590418,0.11177302532909543,0.11967159642200748,0.054441665855292615,0.02956748974922038,0.11760468164541599,0.12011358850448615,0.07564664232842479,0.16088027658604856,0.06089359832154021
BZH,0.2546191188366202,0.04816801031222535,0.0734460940605625,0.2053230575038276,0.056696157801302376,0.2928435420955983,0.1503386110816109,0.07720149373727961,0.12474579517503775,0.09995299298203134,0.06978191348640564,0.17972620020325714
WNC,0.08242976906114834,0.11711864727475975,0.1238846335107546,0.11441035499050396,0.07726374785164505,0.08947493395741613,0.23556932026129224,0.07781060725558288,0.01926308329046246,0.2242254815008481,0.052893042684345526,0.15435637634902927
NRK,0.07060271334120569,0.04596339037527447,0.03592331811881161,0.043698155373345836,0.025752704957153393,0.0343672768342538,0.023376899576569223,0.02450741329453456,0.04131968627315891,0.015701912818559517,0.05473696218758103,0.0394409879050548
RLAY,0.3834475862378736,0.19274145120896854,0.20670795975025769,0.0930434259473837,0.15510300395177526,0.049613087865793014,0.12455355455086095,0.198690082258638,0.09035708002125863,0.14142557544991918,0.19664583786962778,0.29556753288723037
ARR,0.0839561230900431,0.0997314630451266,0.033191723924207536,0.06358987465658111,0.04445569055633032,0.05760260773010923,0.1078287545912351,0.07241726060905089,0.15495856666221744,0.20971479927531014,0.13927904257145976,0.07142837389199296
JMIA,0.2986006355168121,0.6882308712751727,0.09270838674009681,0.059741615620361274,0.31258346170654966,0.21755894004887621,0.3672744678778568,0.3589192603852119,0.07143149626206648,0.04755744042515441,0.35557196273657193,0.17840507587448878
AMSC,0.3683263911675388,0.1244649522066474,0.057581309757125373,0.09194763558006455,0.2842773783224851,0.16678469640874036,0.4013782833856301,0.09925036071590956,0.09257269808498053,0.21522663445099321,0.43521865637566726,0.16504177438722784
SLP,0.14781593686272573,0.09784695243206493,0.15149919056864686,0.08125527591834411,0.10733072704747419,0.03589985134431851,0.2235347705649252,0.025466858183526866,0.06539242399580696,0.247204280648708,0.09395407277172682,0.12059119487326478
RNP,0.1063529581729234,0.05024618643527583,0.08755835630978158,0.07152026121392847,0.05043686435836867,0.06221804054942007,0.07558408555439385,0.04788251212020042,0.05952244397238409,0.09368473289798351,0.08076236026341807,0.11422647063196714
PDS,0.09515280274027324,0.31560564567570765,0.18357288214940265,0.10377187118506481,0.15896008442577655,0.23317132095242313,0.2827485473031259,0.049225082087409035,0.20784027332927857,0.29997816960505486,0.1879717058525573,0.09379389033758377
ARQT,0.5515488984094512,0.40199099403845967,0.20672590602412785,0.17942750938373322,0.22813214134876203,0.13795693510483764,0.1655728237470155,0.1656273308516688,0.27088197389041596,0.27903096625342827,0.10228673511569955,0.4493794709808327
NRIX,0.24726525822353093,0.43333762046766167,0.1694880925186333,0.17319711036135885,0.21973604612415915,0.14380829895101027,0.14596189447038183,0.0870310688910991,0.057445187819447525,0.2058984868540255,0.12581279550239508,0.41634206533102497
