Date,WILL5000PRFC,GDP,BuffetIndicator
2023-02-24,39690.73828125,27164.359,1.4611328867082782
2023-02-27,39809.08984375,27164.359,1.4654897560347366
2023-02-28,39704.37890625,27164.359,1.4616350382591394
2023-03-01,39537.91015625,27164.359,1.455506833651035
2023-03-02,39812.23828125,27164.359,1.4656056592850213
2023-03-03,40450.94921875,27164.359,1.489118488632476
2023-03-06,40399.859375,27164.359,1.4872377211256853
2023-03-07,39806.48828125,27164.359,1.4653939848626651
2023-03-08,39855.0390625,27164.359,1.467181282006323
2023-03-09,39050.05859375,27164.359,1.4375475818792558
2023-03-10,38379.1796875,27164.359,1.4128505549311876
2023-03-13,38264.73046875,27164.359,1.4086373423628364
2023-03-14,38897.7890625,27164.359,1.431942092301902
2023-03-15,38592.37109375,27164.359,1.4206987580214943
2023-03-16,39252.12109375,27164.359,1.4449860971779234
2023-03-17,38762.8515625,27164.359,1.4269746458033483
2023-03-20,39109.8515625,27164.359,1.4397487370307542
2023-03-21,39674.7109375,27164.359,1.4605428730160723
2023-03-22,38969.05078125,27164.359,1.4345654458936432
2023-03-23,39049.8515625,27164.359,1.4375399604496466
2023-03-24,39259.359375,27164.359,1.4452525596131314
2023-03-27,39374.94140625,27164.359,1.4495074743434955
2023-03-28,39318.140625,27164.359,1.4474164704199353
2023-03-29,39880.55859375,27164.359,1.468120731056087
2023-03-30,40086.94921875,27164.359,1.4757185773737564
2023-03-31,40708.41015625,27164.359,1.498596383454143
2023-04-03,40817.3984375,27453.815,1.4867659899908265
2023-04-04,40522.9296875,27453.815,1.4760400216691196
2023-04-05,40363.4296875,27453.815,1.4702302644459433
2023-04-06,40506.71875,27453.815,1.4754495413478965
2023-04-10,40595.9609375,27453.815,1.4787001710873335
2023-04-11,40640.03125,27453.815,1.4803054238545719
2023-04-12,40445.828125,27453.815,1.4732316118907336
2023-04-13,40977.859375,27453.815,1.492610749180032
2023-04-14,40870.25,27453.815,1.4886910981224286
2023-04-17,41036.41015625,27453.815,1.4947434502727581
2023-04-18,41059.0390625,27453.815,1.4955677038874198
2023-04-19,41064.578125,27453.815,1.495769463187539
2023-04-20,40808.87890625,27453.815,1.4864556676822511
2023-04-21,40845.91015625,27453.815,1.4878045239341053
2023-04-24,40855.5703125,27453.815,1.4881563932917885
2023-04-25,40157.171875,27453.815,1.4627173627781787
2023-04-26,39993.12890625,27453.815,1.456742128780645
2023-04-27,40739.578125,27453.815,1.483931399880126
2023-04-28,41064.05078125,27453.815,1.4957502547915473
2023-05-01,41052.390625,27453.815,1.495325535813511
2023-05-02,40533.8984375,27453.815,1.4764395563057449
2023-05-03,40306.73046875,27453.815,1.4681650061658098
2023-05-04,40006.21875,27453.815,1.4572189238544808
2023-05-05,40768.03125,27453.815,1.4849677995571837
2023-05-08,40800.2890625,27453.815,1.4861427842542103
2023-05-09,40627.94921875,27453.815,1.4798653381597422
2023-05-10,40810.55859375,27453.815,1.4865168499805947
2023-05-11,40719.421875,27453.815,1.4831972123000028
2023-05-12,40637.53125,27453.815,1.4802143618291301
2023-05-15,40818.140625,27453.815,1.4867930240296294
2023-05-16,40503.1484375,27453.815,1.4753194933928127
2023-05-17,41030.37890625,27453.815,1.4945237631363801
2023-05-18,41418.94921875,27453.815,1.508677363009476
