,Symbol,Rironkabuka
1589,4595,4505
1590,6800,2311
1591,8704,1952
1592,2150,915
1593,6411,7658
1594,4301,2038
1595,9273,1609
1596,7932,15609
1597,5261,5282
1598,5834,8397
1599,2461,354
1600,7420,2540
1601,9405,945
1602,3655,1636
1603,5013,4326
1604,6999,990
1605,6915,5085
1606,3221,4246
1607,8291,1003
1608,261A,2299
1609,6016,13180
1610,7844,471
1611,5592,3006
1612,1964,4928
1613,3271,1363
1614,4839,1454
1615,6266,4343
1616,9286,0
1617,4027,1833
1618,7185,3382
1619,5185,3536
1620,4072,3132
1621,9994,5927
1622,7520,6676
1623,7675,3723
1624,7925,2872
1625,2929,849
1626,250A,3556
1627,7463,1342
1628,9319,2270
1629,4801,2694
1630,5574,584
1631,2114,1621
1632,8103,1135
1633,8596,1887
1634,2484,217
1635,208A,3348
1636,7245,1081
1637,6357,3169
1638,4275,1853
1639,212A,3926
1640,6279,965
1641,3421,2366
1642,3989,2322
1643,7638,3715
1644,7238,113
1645,4058,3136
1646,2349,4139
1647,8713,1463
1648,6855,3602
1649,6306,957
1650,7570,1934
1651,5909,1338
1652,3901,4270
1653,3355,2800
1654,2936,32
1655,3548,628
1656,7760,1443
1657,7971,859
1658,6485,1987
1659,3678,1692
1660,9955,3157
1661,4025,3698
1662,7683,2259
1663,9211,1831
1664,6125,8188
1665,7475,3996
1666,8558,626
1667,9278,2030
1668,2471,358
1669,9788,797
1670,2153,3344
1671,2922,1947
1672,5218,1523
1673,5357,2822
1674,6238,1524
1675,8301,0
1676,8624,926
1677,3457,1711
1678,9035,1052
1679,8101,2674
1680,6677,4821
1681,7092,3202
