symbol,maxBalance,signal,wrSl,profitPerDay,maxLimit,maxSlLimit,wr
CLSD,1.3105326944921374,0,0.625,0.06240631878533988,-1.97073,0.11,1.0
FREL,1.3103642170856153,0,0.17355371900826447,0.00903699460059045,-0.78061,0.03,0.75
XBI,1.3103423368615512,0,0.35,0.04518421851246728,-1.88032,0.37,1.0
AFMD,1.3103292425978488,0,0.75,0.06551646212989244,-1.9848,0.37,1.0
KURA,1.3102100205109635,0,1.0,0.06551050102554817,-1.99371,0.5,1.0
NXP,1.3102037936360602,0,0.5675675675675675,0.010001555676611146,-0.84846,0.06,0.5
5724,1.3100857242258577,0,1.0,0.06895188022241357,-1.97073,98.0,1.0
SCHF,1.3100688180565685,0,0.6,0.009034957365907368,-0.78061,0.64,0.75
FLJP,1.3098737896215393,0,0.358695652173913,0.009033612342217513,-0.78061,0.06,0.75
8273,1.3097605802304586,0,0.5,0.009491018697322164,-0.76698,40.0,0.6363636363636364
RGNX,1.3094558276946353,0,0.5714285714285714,0.04676627956052269,-1.883,1.3,0.5
MLNK,1.3091339324959033,0,0.875,0.04514254939641046,-1.87268,1.03,0.6666666666666666
5125,1.308969057875496,0,1.0,0.0654484528937748,-0.86384,173.0,1.0
PRMW,1.3086831328416249,0,0.3113207547169811,0.009025400916149137,-0.78061,0.08,0.75
SACH,1.3081494289288838,0,0.875,0.054506226205370156,-1.9231,0.09,0.5
RODM,1.3081081717023035,0,0.5925925925925926,0.009021435666912438,-0.78061,0.43,0.75
4543,1.3081078821416492,0,0.6333333333333333,0.0184240546780514,-1.06292,53.0,0.75
3161,1.3079406977908614,0,0.6470588235294118,0.02216848640323494,-1.12373,17.0,0.75
GNL,1.3077344443534311,0,0.4642857142857143,0.009018858236920214,-0.78061,0.49,0.75
LOCC,1.3076833470734968,0,0.6,0.002668741524639789,1.29023,0.04,1.0
QNST,1.307614679709433,0,0.5,0.017205456311966225,-1.06292,0.31,1.0
USCA,1.307366822496728,0,0.5,0.009473672626787884,1.05009,0.15,1.0
MCOM,1.3073000756704156,0,0.23529411764705882,0.06536500378352078,-1.97471,0.41,0.6666666666666666
TEAM,1.3070848384172091,0,0.2727272727272727,0.046681601372043184,-1.883,1.67,0.5
GAL,1.3070671641816152,0,0.4069767441860465,0.009014256304700794,-0.78061,0.08,0.75
RLY,1.307051941187333,0,0.68,0.00901415131853333,-0.78061,0.56,1.0
CMI,1.3070104467456236,0,0.336734693877551,0.009013865149969817,-0.78061,1.5,0.75
7730,1.3069867293056665,0,0.6666666666666666,0.03844078615604901,-1.77913,23.0,0.75
CCK,1.3069797977922646,0,0.248,0.008117886942809098,-0.74093,0.46,0.5714285714285714
CCCS,1.3069043126278406,0,1.0,0.06223353869656384,-1.97073,0.22,1.0
LEE,1.306831417393342,0,0.2857142857142857,0.04840116360716081,-1.8955,0.03,0.6666666666666666
MRTN,1.3067332185844613,0,0.6666666666666666,0.008889341623023546,-0.77962,0.89,0.75
5585,1.3065642729700568,0,0.6,0.048391269369261365,-0.43668,160.0,0.5
BLNK,1.3065135687298857,0,0.6666666666666666,0.06532567843649428,-1.9848,0.97,1.0
