,xt_va_z
412,1.9811638646181104
413,2.0049959714670735
414,2.0563190852732705
415,2.089070605883299
416,2.073881101029701
417,2.011407780200905
418,1.9272334064506136
419,1.8579836763530273
420,1.811572492060981
421,1.728005441872135
422,1.5488559885927935
423,1.2512986356083062
424,0.8573214589479632
425,0.44062326262375884
426,0.11409059544645257
427,-0.04127028512541618
428,-0.003837108899353947
429,0.1801426577125993
430,0.41550954259194184
431,0.6197579232930569
432,0.7531671148328193
433,0.8170330655598897
434,0.8349101827143013
435,0.8279975985540424
436,0.807467952465948
437,0.7819375207902736
438,0.7543104403714513
439,0.7235962398527536
440,0.687337771923399
441,0.6456904575900644
442,0.6007854603377006
443,0.5534721369971718
444,0.5003319837087892
445,0.43610009069433636
446,0.3601443315094168
447,0.2762041905683503
448,0.19126662024303961
449,0.11621079631176982
450,0.056141676077200144
451,0.010491581244929096
452,-0.02844762415326555
453,-0.06759415968039172
454,-0.10779643918338325
455,-0.14487868342349217
456,-0.17187596131240365
457,-0.18636906930618308
458,-0.17804270061905755
459,-0.1404948372632751
460,-0.07654243435804799
461,0.006446126403052954
462,0.09308682498797885
463,0.16849917192657077
464,0.22698826797096858
465,0.2682334616552494
466,0.2964739255179309
467,0.31838857959377487
468,0.3379317659951231
469,0.3570246849140858
470,0.372525642196815
471,0.4086427556692257
472,0.4625019374734256
473,0.5158168540452358
474,0.5462511508067809
475,0.5321969508004626
476,0.48564533377552566
477,0.43423134237561917
478,0.40343101433395645
479,0.4039304221281748
480,0.4242562354151794
481,0.4484028668733256
482,0.4634681682391511
483,0.46355057617480144
484,0.4518033174308451
485,0.43141436260661636
486,0.40634008928024706
487,0.37693777663371325
488,0.3408802850482312
489,0.30029428376276657
490,0.23657883523136017
491,0.15610600547116185
492,0.07792019035238022
493,0.023794737733107408
494,0.012021601034596034
495,0.03499142349886428
496,0.07692245988620952
497,0.1217690455281597
498,0.16140705843302408
499,0.19446582989918668
500,0.2205919815967062
501,0.2378041321056898
502,0.24459836560347242
503,0.2434701891898828
504,0.2339661035046509
505,0.21377149714561453
506,0.1800605179285935
507,0.12991401288778853
508,0.06459785077394474
509,-0.02648009410832645
510,-0.1522694442089297
511,-0.2918745977165238
512,-0.410649148311472
513,-0.4713063736417231
514,-0.46436980534543687
515,-0.4171303015736548
516,-0.3171297831492823
517,-0.19432292294846887
518,-0.08812414807585575
519,-0.035830604982747254
520,-0.07105014219379804
521,-0.17180106631431197
522,-0.29487494055676394
523,-0.3997740055061625
524,-0.46492857059229475
525,-0.4981287721651726
526,-0.5159808218254243
527,-0.5293638636857928
528,-0.5409465681706507
529,-0.5476599662710698
530,-0.5438266478865713
531,-0.5266836067323843
532,-0.4950260368440804
533,-0.452024239452678
534,-0.4059648751720945
535,-0.36418134485718945
536,-0.3313730015759251
537,-0.3072900600993071
538,-0.2874350568722139
539,-0.2649439458244844
540,-0.23715339869461677
541,-0.2029399410158259
542,-0.16711645784597462
543,-0.137256771085135
544,-0.12027415567598902
545,-0.11867934920935304
546,-0.1291912541737446
547,-0.14392041013522744
548,-0.15141471918847732
549,-0.14494212447250598
550,-0.12565409310948628
551,-0.09984403307104772
552,-0.0764342059299989
553,-0.058849867320701896
554,-0.046559402291866475
555,-0.03565482716425139
556,-0.01755553406119783
557,0.011357969611317536
558,0.0487281674725077
559,0.08496053185313104
560,0.1092028268049674
561,0.1140270307936562
562,0.10033514437187452
563,0.07838364627509219
564,0.05735671873860103
