Symbol,Error,Time
9077,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 1",2024-06-24 16:09:19.784684
9090,"could not create a new DataFrame: series ""column_0"" has length 13 while series ""column_6"" has length 2",2024-06-24 16:09:20.352194
9068,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 4",2024-06-24 16:09:20.746242
9073,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:21.470167
9041,int too big to convert,2024-06-24 16:09:22.735534
9046,"could not append value: 9598400000000000000 of type: u64 to the builder; make sure that all rows have the same schema or consider increasing `infer_schema_length`

it might also be that a value overflows the data-type's capacity",2024-06-24 16:09:23.357185
9052,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:23.833451
9051,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:24.256577
9065,int too big to convert,2024-06-24 16:09:24.853165
9069,int too big to convert,2024-06-24 16:09:25.334448
9070,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 3",2024-06-24 16:09:25.933036
9067,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:26.517591
9074,"could not create a new DataFrame: series ""column_0"" has length 15 while series ""column_6"" has length 2",2024-06-24 16:09:26.991851
9076,int too big to convert,2024-06-24 16:09:28.299334
9082,"could not create a new DataFrame: series ""column_0"" has length 16 while series ""column_6"" has length 1",2024-06-24 16:09:28.986155
9086,int too big to convert,2024-06-24 16:09:29.784282
9081,"could not append value: 12555400000000000000 of type: u64 to the builder; make sure that all rows have the same schema or consider increasing `infer_schema_length`

it might also be that a value overflows the data-type's capacity",2024-06-24 16:09:30.103127
9078,"could not create a new DataFrame: series ""column_0"" has length 14 while series ""column_6"" has length 4",2024-06-24 16:09:30.569366
9072,int too big to convert,2024-06-24 16:09:31.260204
9075,int too big to convert,2024-06-24 16:09:31.696364
8308,int too big to convert,2024-06-24 16:09:32.479447
8306,int too big to convert,2024-06-24 16:09:32.923629
8309,int too big to convert,2024-06-24 16:09:33.457047
8316,int too big to convert,2024-06-24 16:09:35.145538
8524,int too big to convert,2024-06-24 16:09:35.932630
8354,int too big to convert,2024-06-24 16:09:36.433963
5645,"could not create a new DataFrame: series ""column_0"" has length 2 while series ""column_6"" has length 1",2024-06-24 16:09:37.019521
8377,int too big to convert,2024-06-24 16:09:37.672257
5479,"could not create a new DataFrame: series ""column_0"" has length 4 while series ""column_6"" has length 1",2024-06-24 16:09:38.295920
